"       עלויות דגמי מכשיר ליסינג","","","","","","","","","","","           העלות לרכישת מכשיר סלולר, במקרה של עד 6 חודשים מהצטרפות למכרז","","","","","","           העלות לרכישת מכשיר סלולר, בהתאם ליתרת החודשים עד לסיום תקופת הליסינג     ","","","","","","","","","","","","","","","","",""
"","יצרן","דגם מכשיר","","","","","שיוך מכשיר למדרגת מחיר לחישוב השתתפות עצמית","Test","","   הערות","24","23","22","21","20","19","18","17","16","15","14","13","12","11","10","9","8","7","6","5","4","3","2","1"
"1","APPLE","iPhone 16 pro max","256"," ₪83.99"," ₪1,747.62"," ₪4,599.00","עד 5,000 ₪","","19/05/2026",""," ₪4,599.00"," ₪4,515.01"," ₪4,431.02"," ₪4,347.03"," ₪4,263.04"," ₪4,179.05"," ₪3,060.36"," ₪2,987.43"," ₪2,914.50"," ₪2,841.57"," ₪2,768.64"," ₪2,695.71"," ₪2,622.78"," ₪2,549.85"," ₪2,476.92"," ₪2,403.99"," ₪2,331.06"," ₪2,258.13"," ₪2,185.20"," ₪2,112.27"," ₪2,039.34"," ₪1,966.41"," ₪1,893.48"," ₪1,820.55"
"2","APPLE","iPhone 16 pro max","512"," ₪91.03"," ₪1,994.62"," ₪5,249.00","מעל 5,000 ₪","","19/05/2026",""," ₪5,249.00"," ₪5,157.97"," ₪5,066.94"," ₪4,975.91"," ₪4,884.88"," ₪4,793.85"," ₪3,434.08"," ₪3,354.11"," ₪3,274.14"," ₪3,194.17"," ₪3,114.20"," ₪3,034.23"," ₪2,954.26"," ₪2,874.29"," ₪2,794.32"," ₪2,714.35"," ₪2,634.38"," ₪2,554.41"," ₪2,474.44"," ₪2,394.47"," ₪2,314.50"," ₪2,234.53"," ₪2,154.56"," ₪2,074.59"
"3","APPLE","iPhone 17","256"," ₪70.89"," ₪1,287.92"," ₪3,389.25","עד 3,500 ₪","","01/07/2026",""," ₪3,389.25"," ₪3,318.36"," ₪3,247.47"," ₪3,176.58"," ₪3,105.69"," ₪3,034.80"," ₪2,364.86"," ₪2,305.03"," ₪2,245.20"," ₪2,185.37"," ₪2,125.54"," ₪2,065.71"," ₪2,005.88"," ₪1,946.05"," ₪1,886.22"," ₪1,826.39"," ₪1,766.56"," ₪1,706.73"," ₪1,646.90"," ₪1,587.07"," ₪1,527.24"," ₪1,467.41"," ₪1,407.58"," ₪1,347.75"
"4","APPLE","iPhone 17","512"," ₪79.56"," ₪1,591.92"," ₪4,189.25","עד 5,000 ₪","","01/07/2026",""," ₪4,189.25"," ₪4,109.69"," ₪4,030.13"," ₪3,950.57"," ₪3,871.01"," ₪3,791.45"," ₪2,824.92"," ₪2,756.42"," ₪2,687.92"," ₪2,619.42"," ₪2,550.92"," ₪2,482.42"," ₪2,413.92"," ₪2,345.42"," ₪2,276.92"," ₪2,208.42"," ₪2,139.92"," ₪2,071.42"," ₪2,002.92"," ₪1,934.42"," ₪1,865.92"," ₪1,797.42"," ₪1,728.92"," ₪1,660.42"
"5","APPLE","iPhone 17e","256"," ₪60.89"," ₪937.08"," ₪2,466.00","עד 3,500 ₪","","01/07/2026",""," ₪2,466.00"," ₪2,405.11"," ₪2,344.22"," ₪2,283.33"," ₪2,222.44"," ₪2,161.55"," ₪1,834.02"," ₪1,784.19"," ₪1,734.36"," ₪1,684.53"," ₪1,634.70"," ₪1,584.87"," ₪1,535.04"," ₪1,485.21"," ₪1,435.38"," ₪1,385.55"," ₪1,335.72"," ₪1,285.89"," ₪1,236.06"," ₪1,186.23"," ₪1,136.40"," ₪1,086.57"," ₪1,036.74"," ₪986.91"
"6","APPLE","iPhone 17e","512"," ₪67.81"," ₪1,179.71"," ₪3,104.50","עד 3,500 ₪","","01/07/2026",""," ₪3,104.50"," ₪3,036.69"," ₪2,968.88"," ₪2,901.07"," ₪2,833.26"," ₪2,765.45"," ₪2,201.21"," ₪2,144.46"," ₪2,087.71"," ₪2,030.96"," ₪1,974.21"," ₪1,917.46"," ₪1,860.71"," ₪1,803.96"," ₪1,747.21"," ₪1,690.46"," ₪1,633.71"," ₪1,576.96"," ₪1,520.21"," ₪1,463.46"," ₪1,406.71"," ₪1,349.96"," ₪1,293.21"," ₪1,236.46"
"7","APPLE","iPhone 17 Air","256"," ₪65.48"," ₪1,097.92"," ₪2,889.25","עד 3,500 ₪","","01/07/2026",""," ₪2,889.25"," ₪2,823.77"," ₪2,758.29"," ₪2,692.81"," ₪2,627.33"," ₪2,561.85"," ₪2,077.48"," ₪2,023.06"," ₪1,968.64"," ₪1,914.22"," ₪1,859.80"," ₪1,805.38"," ₪1,750.96"," ₪1,696.54"," ₪1,642.12"," ₪1,587.70"," ₪1,533.28"," ₪1,478.86"," ₪1,424.44"," ₪1,370.02"," ₪1,315.60"," ₪1,261.18"," ₪1,206.76"," ₪1,152.34"
"8","APPLE","iPhone 17 Pro","256"," ₪80.45"," ₪1,623.27"," ₪4,271.75","עד 5,000 ₪","","01/07/2026",""," ₪4,271.75"," ₪4,191.30"," ₪4,110.85"," ₪4,030.40"," ₪3,949.95"," ₪3,869.50"," ₪2,872.29"," ₪2,802.90"," ₪2,733.51"," ₪2,664.12"," ₪2,594.73"," ₪2,525.34"," ₪2,455.95"," ₪2,386.56"," ₪2,317.17"," ₪2,247.78"," ₪2,178.39"," ₪2,109.00"," ₪2,039.61"," ₪1,970.22"," ₪1,900.83"," ₪1,831.44"," ₪1,762.05"," ₪1,692.66"
"9","APPLE","iPhone 17 Pro","512"," ₪89.63"," ₪1,945.32"," ₪5,119.25","מעל 5,000 ₪","","01/07/2026",""," ₪5,119.25"," ₪5,029.62"," ₪4,939.99"," ₪4,850.36"," ₪4,760.73"," ₪4,671.10"," ₪3,359.58"," ₪3,281.01"," ₪3,202.44"," ₪3,123.87"," ₪3,045.30"," ₪2,966.73"," ₪2,888.16"," ₪2,809.59"," ₪2,731.02"," ₪2,652.45"," ₪2,573.88"," ₪2,495.31"," ₪2,416.74"," ₪2,338.17"," ₪2,259.60"," ₪2,181.03"," ₪2,102.46"," ₪2,023.89"
"10","APPLE","iPhone 17 Pro","1024"," ₪98.44"," ₪2,254.07"," ₪5,931.75","מעל 5,000 ₪","","01/07/2026",""," ₪5,931.75"," ₪5,833.31"," ₪5,734.87"," ₪5,636.43"," ₪5,537.99"," ₪5,439.55"," ₪3,826.91"," ₪3,739.53"," ₪3,652.15"," ₪3,564.77"," ₪3,477.39"," ₪3,390.01"," ₪3,302.63"," ₪3,215.25"," ₪3,127.87"," ₪3,040.49"," ₪2,953.11"," ₪2,865.73"," ₪2,778.35"," ₪2,690.97"," ₪2,603.59"," ₪2,516.21"," ₪2,428.83"," ₪2,341.45"
