"id","title","content","severity","icon","order","isActive","","","","","","","","","","","","","","","","","","",""
"credit_card_required","חובת הזנת אמצעי תשלום","חובה להזין כרטיס אשראי אישי, או אמצעי תשלום במערכת. 
ללא הסדרת אמצעי התשלום - העובד לא יוכל להצטרף/לשדרג ולהנות משירותי הסלולר במכרז החדש. החיוב באשראי יבוצע בגין רכישות מעבר למכסת ההשתתפות האישית: חריגות, אביזרים, וכל שירות נוסף שאינו מכוסה על ידי המשרד.","warning","CreditCard","1","TRUE","","","","","","","","","","","","","","","","","","",""
"tax_benefit","זקיפת הטבה (שווי שימוש) בתלוש השכר","בתלוש השכר תבוצע זקיפת הטבה בגובה תוכנית הסלולר (כולל מע""מ) והרכישות עבור שירותים ואביזרים נוספים. 
המשמעות: הסכום ייחשב כהכנסה חייבת במס. 
מומלץ להתייעץ עם רכזי השכר של המשרד לגבי ההשפעה על תלוש השכר.","info","Receipt","2","TRUE","","","","","","","","","","","","","","","","","","",""
"overages_local","חריגות בארץ","כל חריגה ממכסת ההשתתפות החודשית תגרור חיוב ישיר מאמצעי התשלום האישי של העובד:
• גלישה: 0.85 ₪, כולל מע""מ, לכל חריגה של 1GB
• שיחות: 4.2 אגורות, כולל מע""מ, לכל דקת חריגה
• הודעות: 0.85 אגורה, כולל מע""מ, לכל הודעה SMS/MMS","danger","AlertTriangle","3","TRUE","","","","","","","","","","","","","","","","","","",""
"international_prefix","שיחות מהארץ לחו""ל - קידומת 014 בלבד","חיוג לחו""ל במסגרת המכסה יתבצע אך ורק בקידומת 014 של בזק בינלאומי. חיוג בכל קידומת אחרת (012, 013 וכו'), הוא מחוץ למסגרת המכרז, ויגרור חיוב בתעריפים גבוהים, ישירות מאמצעי התשלום האישי של העובד.","danger","PhoneCall","4","TRUE","","","","","","","","","","","","","","","","","","",""
"delivery_fee","דמי שליחות וביטול הזמנה","עובדים ממדרג תיכון ומטה יחויבו ב-50.42 ₪, כולל מע""מ, עבור משלוח המכשיר. ביטול שליחות שתואמה חייב להתבצע לפחות 2 ימי עסקים מראש. אי-ביטול בזמן יגרור חיוב מלא בעלות השליחות - גם אם המכשיר לא הגיע פיזית.","warning","Truck","5","TRUE","","","","","","","","","","","","","","","","","","",""
"cancellation_policy","ביטול הזמנה/עסקה","ביטול ההזמנה/עסקה ייתאפשר עד 14 ימי עסקים מיום האספקה, אך ורק אם: האריזה המקורית לא נפתחה ולא נעשה כל שימוש במכשיר. פתיחת האריזה, הפעלת המכשיר, או כל שימוש, או פגיעה במכשיר – ימנעו את ביטול ההזמנה/עסקה.","warning","PackageX","6","TRUE","","","","","","","","","","","","","","","","","","",""
"lost_device_refund","מציאת מכשיר אבוד - זכות להחזר","עובד ששילם דמי השתתפות עצמית על אובדן וקיבל מכשיר חלופי, ולאחר מכן מצא את המקורי, יוכל לחבר אותו מחדש ולקבל 75% החזר מדמי ההשתתפות ששילם, עם החזרת המכשיר החלופי לספק.","info","SearchCheck","7","TRUE","","","","","","","","","","","","","","","","","","",""
"express_repair","תיקון אקספרס ושירות עד הבית","תיקון מהיר (עד שעתיים) בתחנת שירות - תוספת עלות 65.60 ₪, כולל מע""מ. תיקון במקום העבודה או מגורים - עלות 121.00 ₪, כולל מע""מ. תשלומים אלו מבוצעים ישירות מאמצעי התשלום האישי ואינם חלק מהכיסוי של שירות התיקונים.","info","Wrench","8","TRUE","","","","","","","","","","","","","","","","","","",""
"byod_insurance","שירות תיקונים למכשיר פרטי (BYOD)","עובד שבחר במסלול SIM Only, יכול לצרף את מכשיר הטלפון הנייד האישי שלו לשירות תיקונים, בעלות של 7.06 ₪ לחודש, כולל מע""מ. תנאי הצטרפות:
•        עד 6 חודשים מיום רכישת המכשיר.
•        דגם המכשיר נתמך בשירות תיקונים על ידי הספק (למעט יבוא מקביל). 
•        במידה שחלפו 60 יום מרכישת המכשיר, תידרש בדיקת תקינות חד-פעמית, בעלות של 75.60 ₪, כולל מע""מ.","info","ShieldCheck","9","TRUE","","","","","","","","","","","","","","","","","","",""
"roaming_exceptions","חריגות ואיפוס חבילת הגלישה בחו""ל","תוכניות הליסינג והסים אונלי/SIM Only כוללות נפח מצטבר לגלישה בחו""ל של 10GB בחודש, עד 120GB לשנה, שמתאפס בכל תחילת שנה קלנדרית. בנפחי גלישה של 75% ו-100%, יתקבלו התראות עם הצעות לחבילות הרחבה. חבילות ההרחבה יחויבו מיתרת מכסת ההשתתפות ומאמצעי התשלום האישי, בתום המכסה. במידה והעובד לא רכש הרחבה, תופעל חסימה אוטומטית (Hard Stop), בסיום נפח הגלישה.","info","Globe2","10","TRUE","","","","","","","","","","","","","","","","","","",""
"out_of_pocket","שירותים במימון אישי מלא (שאינם נכללים במכסת ההשתתפות)","קו גיבוי נפרד (85.2 ₪ לשנה, כולל מע""מ, במסלול פריפייד) אינו נכלל במכסת ההשתתפות המשרדית ויחויב במלואו מאמצעי התשלום האישי של העובד.","danger","AlertTriangle","11","TRUE","","","","","","","","","","","","","","","","","","",""
